,马克思主义理论(21,种)
3,德国研究,同济大学德国问题研究所,31-2032/C
4,东北亚论坛,吉林大学,22-1180/C
5,东南亚研究,暨南大学东南亚研究所,44-1124/D
6,俄罗斯研究,华东师范大学,31-1843/D
7,公共行政评论,广东人民出版社有限公司等,44-1648/D
8,国际观察,上海外国语大学,31-1642/D
9,国际论坛,北京外国语大学,11-3959/D
10,国际问题研究,中国国际问题研究院,11-1504/D
11,国际展望,上海国际问题研究院,31-1041/D
12,国际政治科学,清华大学,10-1393/D
13,国际政治研究,北京大学,11-4782/D
14,国家行政学院学报,国家行政学院,11-4079/D
15,行政论坛,黑龙江省行政学院,23-1360/D
16,湖湘论坛,中共湖南省委党校,43-1160/D
17,江苏行政学院学报,江苏省行政学院,32-1562/C
18,理论探索,中共山西省委党校、山西行政学院,14-1079/C
19,理论探讨,中共黑龙江省委党校,23-1013/D
20,理论学刊,中共山东省委党校,37-1059/D
21,美国研究,中国社会科学院美国研究所、中华美国学会,11-1170/C
22,南亚研究,中国社会科学院亚太与全球战略研究院等,11-1306/C
23,南亚研究季刊,四川大学南亚研究所,51-1023/D
24,南洋问题研究,厦门大学南洋研究院,35-1054/C
25,欧洲研究,中国社会科学院欧洲研究所,11-4899/C
26,日本学刊,中国社会科学院日本研究所、中华日本学会,11-2747/D
27,上海行政学院学报,上海行政学院,31-1815/C
28,世界经济与政治,中国社会科学院世界经济与政治研究所,11-1343/F
29,台湾研究集刊,厦门大学台湾研究院,35-1022/C
30,太平洋学报,中国太平洋学会,11-3152/K
31,探索,中共重庆市委党校,50-1019/D
32,外交评论(外交学院学报),外交学院,11-5370/D
33,现代国际关系,中国现代国际关系研究院,11-1134/D
34,政治学研究,中国社会科学院政治学研究所,11-1396/D
35,中共中央党校学报,中共中央党校,11-3847/C
,法学(23种)
序号,期刊名称,主办(管)单位,CN号
1,比较法研究,中国政法大学比较法研究所,11-3171/D
2,当代法学,吉林大学,22-1051/D
3,东方法学,上海法学会、上海人民出版社,31-2008/D
4,法律科学(西北政法大学学报),西北政法大学,61-1470/D
5,法商研究,中南财经政法大学,42-1664/D
6,法学,华东政法大学,31-1050/D
7,法学家,中国人民大学,11-3212/D
8,法学论坛,山东省法学会,37-1343/D
9,法学评论,武汉大学,42-1086/D
10,法学研究,中国社会科学院法学研究所,11-1162/D
11,法学杂志,北京市法学会,11-1648/D
12,法制与社会发展,吉林大学,22-1243/D
13,行政法学研究,中国政法大学,11-3110/D
14,华东政法大学学报,华东政法大学,31-2005/D
15,环球法律评论,中国社会科学院法学研究所,11-4560/D
16,清华法学,清华大学,11-5594/D
17,现代法学,西南政法大学,50-1020/D
18,政法论丛,山东政法学院,37-1016/D
19,政法论坛,中国政法大学,11-5608/D
20,政治与法律,上海社会科学院法学研究所,31-1106/D
21,中国法学,中国法学会,11-1030/D
22,中国刑事法杂志,最高人民检察院检察理论研究所,11-3891/D
23,中外法学,北京大学,11-2447/D
,社会学(10,种)
序号,期刊名称,主办(管)单位,CN号
1,妇女研究论丛,全国妇联妇女研究所、中国妇女研究会,11-2876/C
2,青年研究,中国社会科学院社会学研究所,11-3280/C
3,人口学刊,吉林大学,22-1017/C
4,人口研究,中国人民大学,11-1489/C
5,人口与发展,北京大学,11-5646/F
6,人口与经济,首都经济贸易大学,11-1115/F
7,社会,上海大学,31-1123/C
8,社会学研究,中国社会科学院社会学研究所,11-1100/C
9,中国青年研究,中国青少年研究中心、中国青少年研究会,11-2579/D
10,中国人口科学,中国社会科学院人口与劳动经济研究所,11-1043/C
,民族学与文化学(14,种)
序号,期刊名称,主办(管)单位,CN号
1,广西民族研究,广西壮族自治区民族问题研究中心,45-1041/C
2,中国藏学,中国藏学研究中心,11-1725/C
3,文化遗产,中山大学,44-1645/G0
4,世界民族,中国社会科学院民族学与人类学研究所,11-3673/C
5,民俗研究,山东大学,37-1178/K
6,民族研究,中国社会科学院民族学与人类学研究所,11-1217/C
7,西北民族研究,西北民族大学,62-1035/D
8,青海民族研究,青海民族大学民族学与社会学学院等,63-1016/C
9,贵州民族研究,贵州省民族研究所,52-1001/C,
10,广西民族大学学报(哲学社会科学版),广西民族大学,45-1349/C,
11,中央民族大学学报(哲学社会科学版),中央民族大学,11-3530/C,
12,中南民族大学学报(人文社会科学版),中南民族大学,42-1704/C,
13,西南民族大学学报(人文社科版),西南民族大学,51-1671/C,
14,云南民族大学学报(哲学社会科学版),云南民族大学,53-1191/C,
,新闻学与传播学(15,种)
序号,期刊名称,主办(管)单位,CN号
1,编辑学报,中国科学技术期刊编辑学会,11-2493/G3
2,编辑之友,山西报刊传媒集团有限责任公司,14-1066/G2
3,出版发行研究,中国新闻出版研究院,11-1537/G2
4,出版科学,湖北省编辑学会、武汉大学,42-1618/G2
5,当代传播,新疆日报社、新疆新闻工作者协会,65-1201/G2
6,国际新闻界,中国人民大学,11-1523/G2
7,科技与出版,清华大学出版社有限公司,11-3209/G3
8,现代出版,中国大学出版社协会等,11-5979/G2
9,现代传播,中国传媒大学,11-5363/G2
10,新闻大学,复旦大学,31-1157/G2
11,新闻记者,上海社会科学院新闻研究所等,31-1171/G2
12,新闻界,四川日报报业集团,51-1046/G2
13,新闻与传播研究,中国社会科学院新闻与传播研究所,11-3320/G2
14,中国出版,中国新闻出版传媒集团,11-2807/G2
15,中国科技期刊研究,中国科学院自然科学期刊编辑研究会等,11-2684/G3
,图书馆、情报与文献学(20种)
序号,期刊名称,主办(管)单位,CN号
1,大学图书馆学报,北京大学、教育部高校图情工作指导委员会,11-2952/G2
2,档案学通讯,中国人民大学,11-1450/G2
3,档案学研究,中国档案学会,11-1226/G2
4,国家图书馆学刊,中国国家图书馆,11-4099/G2
5,情报科学,中国科技情报学会、吉林大学,22-1264/G2
6,情报理论与实践,中国国防科学技术信息学会等,11-1762/G3
7,情报学报,中国科学技术情报学会等,11-2257/G3
8,情报杂志,陕西省科学技术信息研究所,61-1167/G3
9,情报资料工作,中国人民大学,11-1448/G3
10,数据分析与知识发现,中国科学院文献情报中心,11-2856/G2
11,图书馆,湖南图书馆,43-1031/G2
12,图书馆建设,黑龙江省图书馆学会、黑龙江省图书馆,23-1331/G2
13,图书馆论坛,广东省中山图书馆,44-1306/G2
14,图书馆学研究,吉林省图书馆,22-1052/G2
15,图书馆杂志,上海市图书馆学会、上海图书馆,31-1108/G2
16,图书情报工作,中国科学院文献情报中心,11-1541/G2
17,图书情报知识,武汉大学信息管理学院,42-1085/G2
18,图书与情报,甘肃省图书馆,62-1026/G2
19,现代情报,中国科学技术情报学会等,22-1182/G3
20,中国图书馆学报,中国图书馆学会、国家图书馆,11-2746/G2
,教育学(37,种)
序号,期刊名称,主办(管)单位,CN号
1,北京大学教育评论,北京大学,11-4848/G4
2,比较教育研究,北京师范大学,11-2878/G4
3,电化教育研究,西北师范大学、中国电化教育研究会,62-1022/G4
4,复旦教育论坛,复旦大学,31-1891/G4
5,高等工程教育研究,华中科技大学等,42-1026/G4
6,高等教育研究,中国高教学会高等教育学专业委员会,42-1024/G4
7,高教探索,广东省高等教育学会,44-1109/G4
8,高校教育管理,江苏大学,32-1774/G4
9,国家教育行政学院学报,国家教育行政学院,11-5047/D
10,湖南师范大学教育科学学报,湖南师范大学,43-1381/G4
11,华东师范大学学报(教育科学版),华东师范大学,31-1007/G4
12,江苏高教,江苏教育报刊总社,32-1048/G4
13,教师教育研究,教育部高校师资培训交流北京中心,11-5147/G4
14,教育发展研究,上海市教育科学研究院等,31-1772/G4
15,教育科学,辽宁师范大学,21-1066/G4
16,教育学报,北京师范大学,11-5306/G4
17,教育研究,中国教育科学研究院,11-1281/G4
18,教育研究与实验,华中师范大学,42-1041/G4
19,教育与经济,华中师范大学等,42-1268/G4
20,开放教育研究,上海远程教育集团、上海电视大学,31-1724/G4
21,课程·教材·教法,人民教育出版社课程教材研究所,11-1278/G4
22,清华大学教育研究,清华大学,11-1610/G4
