
管理学(26种)
序号,期刊名称,期刊信息
7,云南民族大学学报(哲学社会科学版),"中国昆明云南民族大学学报(哲社版)编辑部(650031)(0871)5137404"
8,广西民族研究,"南宁市桃源路4号(530021)(0771)2806632  2813282"
9,贵州民族研究,"中国贵州省贵阳市市北路扁井巷27号(550004)(0851)6615623"
10,中南民族大学学报(人文社会科学版),"中国武汉市民院路5号(430074)(027)67842094"
11,黑龙江民族丛刊,"哈尔滨市动力区哈平路186号(150081)(0451)86630911"
12,回族研究,"宁夏银川市西夏区(750021)(0951)2074543"
新闻学与传播学(15种)
序号,期刊名称,期刊信息
1,编辑学报,"北京右安门外首都医科大学内(100069)(010)83911346"
2,新闻与传播研究,"北京2011信箱(100026)(010)65940579"
3,国际新闻界,"北京市中关村大街59号(100872)(010)82509362"
4,中国科技期刊研究,"北京中关村,中国科学院微生物研究所内(100080)(010)62572403"
5,现代传播:中国传媒大学学报,"北京市朝阳区定福庄东街1号(100024)(010)65779586"
6,编辑之友,"太原市建设南路15号出版大厦(030012)(0351)4922194"
7,科技与出版,"北京市清华大学出版社(100084)(010)62794473"
8,新闻大学,"上海市邯郸路440号复旦大学新闻学院内(200433)(021)65643630  55664705"
9,新闻记者,"上海市延安中路839号(200040)(021)62791234"
10,中国出版,"北京市朝阳区2350信箱(100023)(010)87320413"
11,出版发行研究,"北京市丰台区三路居路97号(100073)(010)51259132"
12,编辑学刊,"上海市建国西路384弄11号甲(200020)(021)64740475-1015"
13,新闻界,"成都市红星中路二段70号(610012)(028)86968036  86968035"
14,中国广播电视学刊,"北京市复兴门外大街2号(100866)(010)86093458  86091971"
15,中国图书评论,"北京市朝阳区春秀路太平庄10号(100027)(010)64173406 (024)23265976"
图书馆、情报与文献学(18种)
序号,期刊名称,期刊信息
1,中国图书馆学报,"北京中关村南大街33号(100081)(010)88545141"
2,情报学报,"北京市复兴路15号(100038)(010)68598273"
3,大学图书馆学报,"北京大学图书馆302室(100871)(010)62759056"
4,图书情报工作,"北京市中关村北四环西路33号(100080)(010)82623933"
5,现代图书情报技术,"北京中关村北四环西路33号(100080)(010)82624938"
6,情报资料工作,"北京张自忠路3号(100007)(010)64057499"
7,情报理论与实践,"北京2413信箱10分箱(100089)(010)68961793"
8,图书馆,"长沙市韶山北路169号(410011)(0731)4174148"
9,图书情报知识,"武汉市珞珈山武汉大学信息管理学院(430072)(027)68754437-8502"
10,图书馆杂志,"上海市淮海中路1555号(上海图书馆内)(200031)(021)64455503"
11,图书与情报,"兰州市南滨河东路488号(730000)(0931)8270072"
12,图书馆理论与实践,"宁夏银川市西夏区同心北路(750021)(0951)2021540"
13,情报科学,"长春市人民大街5988号(130022)(0431)85095200"
14,图书馆论坛,"广州文明路213号(510110)(020)83825705"
15,图书馆工作与研究,"天津市南开区复康路15号(300191)(022)23368221"
17,档案学研究,"北京市宣武区永安路106号(100050)(010)63018706  63020081"
18,档案学通讯,"北京张自忠路3号(100007)(010)64035109"
教育学(34种)
序号,期刊名称,期刊信息
1,教育研究,"北京市北三环中路46号(100088)(010)82014985"
2,高等教育研究,"武昌喻家山华中科技大学内(430074)(027)87543893"
3,华东师范大学学报(教科版),"上海市中山北路3663号(200062)(021)62232305"
4,全球教育展望,"上海市中山北路3663号(200062)(021)62232938"
5,比较教育研究,"北京新街口外大街19号北京师范大学国际与比较教育研究所(100875)(010)58808310"
6,教育研究与实验,"武昌桂子山华中师大三号楼(430079)(027)67868275"
7,教育发展研究,"上海市茶陵北路21号(200032)(021)64038952  34311989"
8,清华大学教育研究,"北京清华大学文南楼403室《清华大学教育研究》编辑部(100084)(010)62788995"
9,教师教育研究,"北京师范大学内(100875)(010)58807942"
10,教育与经济,"武汉华中师范大学教科院(430079)(027)67865330"
11,外国教育研究,"长春市人民大街5268号(130024)(0431)5098501"
